"","target","network_change","components.igraph_object..no"
"1","Green Park",0.464271515336074,1
"2","King's Cross St. Pancras",0.344894786795857,2
"3","Bank",1.14339690184063,2
"4","Waterloo",1.28494742196984,2
"5","Stockwell",0.563343124925417,4
"6","Embankment",-6.16772972588596,5
"7","Baker Street",2.32031653445306,6
"8","Notting Hill Gate",-1.73581862937826,7
"9","Ealing Common",-2.85804986154228,9
"10","Stratford",-0.357026106908554,10
"11","Canning Town",0.336399630312155,12
"12","Hammersmith",-1.11269563661233,14
"13","Shadwell",-1.44335210818291,16
"14","Harrow-on-the-Hill",-0.489621630559977,18
"15","Camden Town",-0.565504186081095,20
"16","Canary Wharf",-0.335125486278896,23
"17","Mile End",-0.846532555502438,24
"18","Paddington",-0.328322619604598,28
"19","Earl's Court",-0.196290601211155,31
"20","Oxford Circus",0.0164536217633566,33
