"","target","network_change","components.igraph_object..no"
"1","Embankment",0.124797831125548,1
"2","Cannon Street",-0.0207850116238859,2
"3","Moorgate",0.221126748710891,2
"4","West India Quay",0.0217058916728998,2
"5","Great Portland Street",0.114088504753353,2
"6","Farringdon",0.0326921131742459,3
"7","Paddington",-0.0690669697385129,4
"8","Leicester Square",0.0310719926745389,4
"9","Heron Quays",-0.213633720509144,5
"10","Gloucester Road",0.404000167032718,5
"11","Euston",-0.232471150322526,6
"12","Aldgate",0.0282085998489183,6
"13","St. James's Park",0.0346998373695477,6
"14","Mile End",0.776660400757532,6
"15","Oxford Circus",0.508933395700687,6
"16","Notting Hill Gate",2.80231756571204,7
"17","Rotherhithe",0.0441242406774336,7
"18","Blackfriars",0.00179863405518788,8
"19","Baker Street",-6.40337680481831,12
"20","Barons Court",-0.217740790392554,13
