"","Orig","Barking and Dagenham","Barnet","Bexley","Brent","Bromley","Camden","City of London","Croydon","Ealing","Enfield","Greenwich","Hackney","Hammersmith and Fulham","Haringey","Harrow","Havering","Hillingdon","Hounslow","Islington","Kensington and Chelsea","Kingston upon Thames","Lambeth","Lewisham","Merton","Newham","Redbridge","Richmond upon Thames","Southwark","Sutton","Tower Hamlets","Waltham Forest","Wandsworth","Westminster","(all)"
"1","Barking and Dagenham",0,529,18,943,161,3675,3743,407,1107,146,62,373,2014,346,374,6,990,968,1513,2146,375,1374,214,612,47,17,605,1262,297,733,72,1379,10715,37223
"2","Barnet",747,0,634,295,1583,2728,11006,2086,782,140,1417,1191,2297,274,124,494,845,1188,2212,2644,858,4788,1812,1673,1315,664,943,6034,1050,5008,403,3057,14096,74388
"3","Bexley",38,935,0,1402,69,5859,5447,293,1488,340,31,755,2573,714,565,31,1337,1183,2635,2798,387,1370,150,597,130,120,695,1317,260,1180,225,1492,14818,51234
"4","Brent",1108,245,791,0,1666,2742,11902,1869,199,488,1720,1870,954,746,79,736,489,569,3081,1361,572,3913,1885,1168,1866,1132,492,5836,831,6356,813,1953,9840,69272
"5","Bromley",204,1421,42,1799,0,8437,8190,100,1694,644,132,1446,2827,1266,737,135,1538,1189,4275,3217,300,1221,149,430,435,385,640,1535,146,2321,525,1328,18744,67452
"6","Camden",1073,564,822,682,1942,0,4349,2425,1461,544,1533,762,1499,373,588,815,2182,1937,542,1157,1112,3401,1645,1699,1408,1020,1239,4020,1233,3503,595,2376,3143,51644
"7","City of London",31,64,22,84,53,123,0,73,116,35,32,17,110,33,51,27,147,117,35,84,49,69,29,61,29,33,66,44,43,32,23,86,242,2060
"8","Croydon",405,1469,140,1583,79,8263,8821,0,1325,791,332,1795,2085,1465,675,267,1269,814,4668,2520,138,834,235,163,753,631,382,1570,30,3139,728,754,16424,64547
"9","Ealing",1153,577,744,176,1390,5210,14635,1387,0,697,1683,2527,841,1238,96,738,172,134,4724,1522,294,3449,1752,753,2051,1280,182,5810,547,7336,1046,1437,13262,78843
"10","Enfield",244,166,273,694,848,3109,7019,1327,1117,0,638,522,2588,121,252,162,1010,1271,1509,2809,712,3398,996,1317,484,165,920,3736,750,2389,79,2597,13732,56954
"11","Greenwich",71,1153,17,1684,120,6038,4416,384,1859,439,0,680,2809,785,738,78,1811,1527,2521,2909,500,1215,82,690,88,161,869,922,332,768,254,1570,14563,52053
"12","Hackney",352,795,342,1501,1075,2459,1986,1702,2288,295,558,0,3096,198,805,325,2601,2423,375,2779,1114,2767,786,1642,303,279,1503,2203,1023,591,114,2766,10024,51070
"13","Hammersmith and Fulham",1250,1009,767,504,1383,3187,8227,1301,501,962,1516,2038,0,1281,451,880,1125,594,3294,133,368,1687,1323,529,1881,1412,299,3367,523,5413,1111,499,3801,52616
"14","Haringey",509,285,504,934,1467,1880,5794,2164,1747,107,1003,309,3034,0,492,393,1955,2107,670,2955,1157,4221,1393,1933,709,376,1436,4352,1204,2433,131,3357,12066,63077
"15","Harrow",539,126,391,97,838,2901,8815,979,133,218,925,1230,1046,482,0,333,100,273,2426,1462,298,2651,1096,706,1025,555,283,3856,442,4012,433,1420,9894,49985
"16","Havering",10,566,24,1015,173,4520,5265,434,1148,157,110,558,2295,433,374,0,961,981,2023,2530,384,1711,298,671,120,35,629,1742,312,1221,108,1590,13221,45619
"17","Hillingdon",378,228,245,159,463,2851,6792,487,63,231,601,1053,692,508,27,226,0,63,2207,1055,110,1595,678,333,747,428,96,2535,200,2998,376,777,7855,37057
"18","Hounslow",614,533,360,307,594,4204,8980,519,81,483,842,1628,606,908,120,384,105,0,3321,1075,63,1635,839,249,1135,731,23,3008,176,4225,656,621,9381,48406
"19","Islington",717,742,599,1242,1596,878,1994,2223,2149,428,1038,188,2513,216,797,592,2738,2482,0,2059,1242,3132,1213,1824,791,636,1546,2925,1234,1606,317,2761,5964,50382
"20","Kensington and Chelsea",1238,1080,776,669,1463,2287,5881,1461,843,971,1459,1700,123,1160,585,901,1594,979,2508,0,523,1504,1248,679,1743,1376,511,2796,639,4548,1043,600,1443,46331
"21","Kingston upon Thames",334,541,165,434,210,3390,5258,124,251,379,387,1051,527,701,184,211,256,88,2334,807,0,627,338,39,615,439,24,1355,24,2320,434,232,6611,30690
"22","Lambeth",1300,3207,623,3152,911,11022,7913,793,3134,1926,999,2776,2571,2717,1741,1000,3954,2442,6257,2466,667,0,465,483,1697,1719,1107,741,440,4298,1610,590,14879,89600
"23","Lewisham",363,2175,122,2720,199,9554,5990,401,2854,1011,121,1414,3614,1607,1289,312,3013,2244,4344,3669,644,833,0,715,433,591,1170,550,369,1517,692,1589,19019,75138
"24","Merton",716,1386,336,1164,397,6809,8674,191,846,923,702,2038,997,1539,574,485,1020,460,4508,1377,51,597,493,0,1189,958,148,1806,36,4045,939,176,11286,56866
"25","Newham",48,953,64,1625,351,4934,3576,775,2016,297,79,329,3101,494,728,76,2004,1832,1710,3092,707,1835,262,1039,0,64,1103,1340,555,403,105,2108,14058,51663
