"","Orig","Barking and Dagenham","Barnet","Bexley","Brent","Bromley","Camden","City of London","Croydon","Ealing","Enfield","Greenwich","Hackney","Hammersmith and Fulham","Haringey","Harrow","Havering","Hillingdon","Hounslow","Islington","Kensington and Chelsea","Kingston upon Thames","Lambeth","Lewisham","Merton","Newham","Redbridge","Richmond upon Thames","Southwark","Sutton","Tower Hamlets","Waltham Forest","Wandsworth","Westminster","(all)"
"1","Barking and Dagenham",0,454,1024,306,700,1926,3730,415,295,530,1282,979,484,542,167,3654,414,246,1428,494,132,730,573,194,2801,3760,146,1288,134,3038,825,418,4111,37220
"2","Barnet",217,0,148,4845,351,12838,6276,401,2068,2736,277,1517,2099,3385,2502,233,2402,992,4833,1986,286,1036,334,351,493,474,464,1333,188,2200,735,932,15460,74392
"3","Bexley",1786,539,0,432,3439,2534,5375,1207,461,478,5347,1013,794,551,232,1557,643,422,1720,795,269,1535,1715,417,2123,1112,267,2589,322,3956,557,809,6234,51230
"4","Brent",113,3737,91,0,257,9848,4475,345,6271,606,176,745,3898,959,3008,120,3204,1599,2676,2973,330,978,248,388,268,214,685,1063,183,1337,281,1125,17078,69279
"5","Bromley",666,701,1878,666,0,3480,7071,6975,801,499,2480,1047,1430,615,352,713,1106,831,2097,1368,686,3406,3403,1146,1250,684,573,4395,1132,3979,472,1800,9748,67450
"6","Camden",57,792,43,788,108,0,5967,129,416,265,96,891,1209,934,198,53,350,229,7417,1704,83,548,138,130,173,116,133,752,60,1181,187,451,26056,51654
"7","City of London",4,15,3,14,8,226,0,9,11,9,10,82,35,23,5,3,11,8,244,49,4,57,16,8,18,8,5,145,4,276,10,26,715,2061
"8","Croydon",300,606,499,676,5283,3172,5860,0,914,363,882,753,1731,474,343,323,1197,1084,1714,1559,1328,4453,1929,2706,645,373,858,3835,4993,2626,304,2828,9930,64541
"9","Ealing",125,1828,111,7189,355,5961,4185,534,0,488,206,634,5087,665,2863,138,10491,7811,2007,3059,740,1276,307,692,280,218,2131,1228,319,1332,251,1758,14572,78841
"10","Enfield",394,4264,204,1224,390,6692,5847,374,861,0,365,2056,1107,4558,730,423,1194,551,4211,1110,205,868,362,265,795,1129,282,1280,156,2740,2237,652,9430,56956
