"","Orig","Barking and Dagenham","Barnet","Bexley","Brent","Bromley","Camden","City of London","Croydon","Ealing","Enfield","Greenwich","Hackney","Hammersmith and Fulham","Haringey","Harrow","Havering","Hillingdon","Hounslow","Islington","Kensington and Chelsea","Kingston upon Thames","Lambeth","Lewisham","Merton","Newham","Redbridge","Richmond upon Thames","Southwark","Sutton","Tower Hamlets","Waltham Forest","Wandsworth","Westminster","(all)"
"1","Barking and Dagenham",0,15,61,11,22,23,90,14,9,20,62,34,18,27,10,105,7,7,27,28,10,20,30,13,75,113,14,24,11,46,40,20,26,1032
"2","Barnet",66,0,3319,410,3547,450,605,3319,191,3097,85,217,253,503,3604,3070,3124,2827,317,375,3662,118,89,93,87,3015,4858,111,3124,162,2854,165,323,48040
"3","Bexley",157,1944,0,29,2009,59,247,1880,27,1754,393,73,55,56,2042,1739,1770,1601,65,85,2074,74,147,49,125,1708,2752,86,1770,118,1616,68,73,26645
"4","Brent",39,346,41,0,44,361,459,53,446,99,59,123,404,186,434,33,148,139,197,506,92,111,70,99,53,54,209,92,60,108,77,188,345,5675
"5","Bromley",97,3609,3490,54,0,100,406,3490,56,3257,287,100,115,82,3790,3228,3285,2973,101,171,3851,182,332,142,109,3170,5108,172,3285,157,3001,168,138,48506
"6","Camden",44,197,44,188,43,0,1095,47,103,100,70,270,310,348,100,33,50,58,832,626,60,135,84,80,72,63,111,134,48,188,108,176,914,6731
"7","City of London",2,3,2,3,2,12,0,2,2,2,4,14,7,7,2,1,1,1,20,14,2,8,6,3,4,3,3,13,2,21,4,7,19,196
"8","Croydon",58,3225,3118,61,3332,104,395,0,69,2910,144,87,150,75,3386,2884,2935,2656,97,213,3441,252,240,312,74,2833,4564,174,2935,128,2681,269,158,43960
"9","Ealing",37,174,42,483,50,214,382,65,0,74,59,95,436,123,366,32,327,420,138,454,152,120,72,136,48,48,444,90,82,95,62,234,267,5821
"10","Enfield",69,2414,2335,92,2495,177,374,2335,63,0,69,180,100,415,2535,2159,2198,1989,186,156,2576,67,62,49,82,2121,3417,71,2198,125,2007,82,144,33342
"11","Greenwich",111,35,273,29,115,65,332,61,26,36,0,91,58,60,26,62,18,22,77,94,34,92,267,50,191,82,45,130,41,187,64,75,85,2934
"12","Hackney",45,65,38,44,29,186,874,27,32,70,67,0,76,247,34,29,19,21,480,137,26,69,65,36,104,75,41,93,24,325,169,68,161,3776
"13","Hammersmith and Fulham",23,74,27,139,33,206,391,45,139,37,42,74,0,78,72,18,49,86,120,1981,83,137,59,117,34,29,197,90,55,78,39,349,462,5363
"14","Haringey",45,194,37,85,31,305,505,30,52,205,56,315,103,0,66,33,32,32,407,174,34,66,55,42,71,80,57,73,28,144,202,78,185,3822
"15","Harrow",20,1618,1564,231,1671,102,171,1564,180,1460,28,50,111,77,0,1447,1472,1332,70,141,1726,44,31,43,25,1421,2290,37,1472,46,1345,71,101,21961
"16","Havering",297,2001,1935,25,2067,49,172,1935,23,1805,100,63,41,57,2101,0,1821,1648,55,62,2135,42,58,30,90,1757,2832,47,1821,78,1663,44,55,26909
"17","Hillingdon",19,1972,1907,111,2038,73,147,1907,227,1780,28,40,107,52,2071,1764,0,1624,53,128,2105,46,32,54,23,1733,2792,36,1795,40,1640,80,85,26509
"18","Hounslow",19,1644,1590,96,1699,77,171,1590,268,1483,31,41,172,48,1726,1470,1496,0,56,182,1754,66,39,98,23,1444,2327,46,1496,44,1367,138,107,22808
"19","Islington",41,108,38,80,34,648,1364,34,52,81,65,544,140,361,53,29,29,33,0,271,37,98,73,52,77,62,63,117,33,233,119,106,376,5451
"20","Kensington and Chelsea",22,67,26,107,30,255,486,39,89,36,41,81,1214,81,56,17,36,56,142,0,61,143,59,92,34,28,124,100,45,86,39,289,940,4921
"21","Kingston upon Thames",13,1059,1024,32,1094,40,112,1024,48,955,24,25,83,25,1112,947,964,872,32,98,0,60,34,180,16,930,1498,37,964,31,880,128,61,14402
"22","Lambeth",57,77,82,86,116,201,1034,169,86,56,147,149,306,112,64,42,48,73,186,523,135,0,340,322,94,64,182,754,163,241,75,786,410,7180
"23","Lewisham",80,54,153,50,199,118,673,151,48,48,399,132,123,88,43,55,31,41,130,201,72,318,0,124,143,77,92,498,98,284,75,190,177,4965
