"BehaviorSpace results (NetLogo 6.0.4)"
"epidemic.nlogo"
"scenario 1"
"04/22/2019 11:37:55:929 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","initial-people","num-infect","immune-chance","recovery-chance","[step]","count turtles with [infected?]","count turtles with [immune? = true]","count turtles","sum [sicktime] of turtles"
"8","1000","100","50","10","0","38","508","1000","0"
"5","1000","100","50","10","0","56","471","1000","0"
"4","1000","100","50","10","0","42","500","1000","0"
"1","1000","100","50","10","0","44","502","1000","0"
"2","1000","100","50","10","0","46","488","1000","0"
"8","1000","100","50","10","1","48","508","1000","38"
"3","1000","100","50","10","0","50","495","1000","0"
"6","1000","100","50","10","0","49","474","1000","0"
"5","1000","100","50","10","1","72","471","1000","56"
"7","1000","100","50","10","0","48","474","1000","0"
"4","1000","100","50","10","1","62","500","1000","42"
"1","1000","100","50","10","1","62","502","1000","44"
"8","1000","100","50","10","2","68","508","1000","86"
"2","1000","100","50","10","1","62","488","1000","46"
"5","1000","100","50","10","2","97","471","1000","128"
"4","1000","100","50","10","2","76","500","1000","104"
"6","1000","100","50","10","1","71","474","1000","49"
"8","1000","100","50","10","3","81","508","1000","154"
"1","1000","100","50","10","2","75","502","1000","106"
"2","1000","100","50","10","2","77","488","1000","108"
"4","1000","100","50","10","3","84","500","1000","180"
"5","1000","100","50","10","3","129","471","1000","225"
"6","1000","100","50","10","2","87","474","1000","120"
"3","1000","100","50","10","1","66","495","1000","50"
"8","1000","100","50","10","4","106","508","1000","235"
"4","1000","100","50","10","4","112","500","1000","264"
"5","1000","100","50","10","4","152","471","1000","354"
"2","1000","100","50","10","3","95","488","1000","185"
"6","1000","100","50","10","3","102","474","1000","207"
"1","1000","100","50","10","3","92","502","1000","181"
"7","1000","100","50","10","1","63","474","1000","48"
"4","1000","100","50","10","5","126","500","1000","376"
"2","1000","100","50","10","4","126","488","1000","280"
"5","1000","100","50","10","5","189","471","1000","506"
"8","1000","100","50","10","5","123","508","1000","341"
"6","1000","100","50","10","4","141","474","1000","309"
"3","1000","100","50","10","2","93","495","1000","116"
"1","1000","100","50","10","4","103","502","1000","273"
"2","1000","100","50","10","5","142","488","1000","406"
"4","1000","100","50","10","6","143","500","1000","502"
"8","1000","100","50","10","6","141","508","1000","464"
"1","1000","100","50","10","5","130","502","1000","376"
"6","1000","100","50","10","5","159","474","1000","450"
"8","1000","100","50","10","7","166","508","1000","605"
"1","1000","100","50","10","6","145","502","1000","506"
"6","1000","100","50","10","6","170","474","1000","609"
"2","1000","100","50","10","6","153","488","1000","548"
"5","1000","100","50","10","6","212","471","1000","695"
"4","1000","100","50","10","7","164","500","1000","645"
"2","1000","100","50","10","7","169","488","1000","701"
"3","1000","100","50","10","3","113","495","1000","209"
"1","1000","100","50","10","7","175","502","1000","651"
"6","1000","100","50","10","7","204","474","1000","779"
"5","1000","100","50","10","7","248","471","1000","907"
"4","1000","100","50","10","8","191","500","1000","809"
"6","1000","100","50","10","8","237","474","1000","983"
"7","1000","100","50","10","2","80","474","1000","111"
"8","1000","100","50","10","8","184","508","1000","771"
"2","1000","100","50","10","8","188","488","1000","870"
"1","1000","100","50","10","8","207","502","1000","826"
"2","1000","100","50","10","9","214","488","1000","1058"
"6","1000","100","50","10","9","264","474","1000","1220"
"5","1000","100","50","10","8","283","471","1000","1155"
"4","1000","100","50","10","9","216","500","1000","1000"
"1","1000","100","50","10","9","235","502","1000","1033"
"3","1000","100","50","10","4","137","495","1000","322"
"8","1000","100","50","10","9","206","508","1000","955"
"6","1000","100","50","10","10","287","474","1000","1484"
"1","1000","100","50","10","10","241","502","1000","1268"
"2","1000","100","50","10","10","230","488","1000","1272"
"4","1000","100","50","10","10","238","500","1000","1216"
"7","1000","100","50","10","3","85","474","1000","191"
"6","1000","100","50","10","11","307","474","1000","1771"
"8","1000","100","50","10","10","228","508","1000","1161"
"4","1000","100","50","10","11","259","500","1000","1454"
"2","1000","100","50","10","11","247","488","1000","1502"
"1","1000","100","50","10","11","251","502","1000","1509"
"6","1000","100","50","10","12","330","474","1000","2078"
"2","1000","100","50","10","12","279","488","1000","1749"
"5","1000","100","50","10","9","305","471","1000","1438"
"8","1000","100","50","10","11","250","508","1000","1389"
"4","1000","100","50","10","12","286","500","1000","1713"
"3","1000","100","50","10","5","157","495","1000","459"
"7","1000","100","50","10","4","96","474","1000","276"
"6","1000","100","50","10","13","362","474","1000","2408"
"2","1000","100","50","10","13","293","488","1000","2028"
"4","1000","100","50","10","13","293","500","1000","1999"
"8","1000","100","50","10","12","266","508","1000","1639"
"3","1000","100","50","10","6","194","495","1000","616"
"4","1000","100","50","10","14","309","500","1000","2292"
"5","1000","100","50","10","10","328","471","1000","1743"
"8","1000","100","50","10","13","278","508","1000","1905"
"7","1000","100","50","10","5","109","474","1000","372"
"2","1000","100","50","10","14","313","488","1000","2321"
"6","1000","100","50","10","14","357","474","1000","2770"
"8","1000","100","50","10","14","294","508","1000","2183"
"5","1000","100","50","10","11","332","471","1000","2071"
"2","1000","100","50","10","15","316","488","1000","2634"
"6","1000","100","50","10","15","371","474","1000","3127"
"3","1000","100","50","10","7","213","495","1000","810"
"4","1000","100","50","10","15","315","500","1000","2601"
"2","1000","100","50","10","16","339","488","1000","2950"
"5","1000","100","50","10","12","337","471","1000","2403"
"7","1000","100","50","10","6","139","474","1000","481"
"6","1000","100","50","10","16","374","474","1000","3498"
"4","1000","100","50","10","16","337","500","1000","2916"
"3","1000","100","50","10","8","226","495","1000","1023"
"2","1000","100","50","10","17","331","488","1000","3289"
"5","1000","100","50","10","13","366","471","1000","2740"
"7","1000","100","50","10","7","164","474","1000","620"
"6","1000","100","50","10","17","383","474","1000","3872"
"2","1000","100","50","10","18","339","488","1000","3620"
"4","1000","100","50","10","17","339","500","1000","3253"
"3","1000","100","50","10","9","245","495","1000","1249"
"7","1000","100","50","10","8","193","474","1000","784"
"6","1000","100","50","10","18","397","474","1000","4255"
"1","1000","100","50","10","12","260","502","1000","1760"
"3","1000","100","50","10","10","259","495","1000","1494"
"2","1000","100","50","10","19","355","488","1000","3959"
"4","1000","100","50","10","18","352","500","1000","3592"
"7","1000","100","50","10","9","219","474","1000","977"
"1","1000","100","50","10","13","282","502","1000","2020"
"6","1000","100","50","10","19","388","474","1000","4652"
"4","1000","100","50","10","19","346","500","1000","3944"
"3","1000","100","50","10","11","275","495","1000","1753"
"2","1000","100","50","10","20","356","488","1000","4314"
"6","1000","100","50","10","20","392","474","1000","5040"
"7","1000","100","50","10","10","229","474","1000","1196"
"1","1000","100","50","10","14","292","502","1000","2302"
"4","1000","100","50","10","20","351","500","1000","4290"
"3","1000","100","50","10","12","283","495","1000","2028"
"2","1000","100","50","10","21","375","488","1000","4670"
"6","1000","100","50","10","21","394","474","1000","5432"
"1","1000","100","50","10","15","302","502","1000","2594"
"7","1000","100","50","10","11","244","474","1000","1425"
"4","1000","100","50","10","21","362","500","1000","4641"
"2","1000","100","50","10","22","383","488","1000","5045"
"3","1000","100","50","10","13","299","495","1000","2311"
"1","1000","100","50","10","16","330","502","1000","2896"
"6","1000","100","50","10","22","397","474","1000","5826"
"7","1000","100","50","10","12","290","474","1000","1669"
"2","1000","100","50","10","23","384","488","1000","5428"
"4","1000","100","50","10","22","353","500","1000","5003"
"5","1000","100","50","10","14","374","471","1000","3106"
"8","1000","100","50","10","15","316","508","1000","2477"
"1","1000","100","50","10","17","337","502","1000","3226"
"6","1000","100","50","10","23","400","474","1000","6223"
"7","1000","100","50","10","13","311","474","1000","1959"
"2","1000","100","50","10","24","400","488","1000","5812"
"4","1000","100","50","10","23","367","500","1000","5356"
"1","1000","100","50","10","18","327","502","1000","3563"
"5","1000","100","50","10","15","383","471","1000","3480"
"6","1000","100","50","10","24","405","474","1000","6623"
"8","1000","100","50","10","16","333","508","1000","2793"
"2","1000","100","50","10","25","410","488","1000","6212"
"1","1000","100","50","10","19","352","502","1000","3890"
"5","1000","100","50","10","16","375","471","1000","3863"
"7","1000","100","50","10","14","331","474","1000","2270"
"8","1000","100","50","10","17","350","508","1000","3126"
"4","1000","100","50","10","24","381","500","1000","5723"
"6","1000","100","50","10","25","396","474","1000","7028"
"2","1000","100","50","10","26","402","488","1000","6622"
"5","1000","100","50","10","17","390","471","1000","4238"
"1","1000","100","50","10","20","362","502","1000","4242"
"6","1000","100","50","10","26","402","474","1000","7424"
"2","1000","100","50","10","27","406","488","1000","7024"
"8","1000","100","50","10","18","340","508","1000","3476"
"4","1000","100","50","10","25","392","500","1000","6104"
"1","1000","100","50","10","21","371","502","1000","4604"
"5","1000","100","50","10","18","384","471","1000","4628"
"2","1000","100","50","10","28","397","488","1000","7430"
"4","1000","100","50","10","26","376","500","1000","6496"
"8","1000","100","50","10","19","364","508","1000","3816"
"6","1000","100","50","10","27","413","474","1000","7826"
"1","1000","100","50","10","22","379","502","1000","4975"
"5","1000","100","50","10","19","399","471","1000","5012"
"2","1000","100","50","10","29","398","488","1000","7827"
"8","1000","100","50","10","20","370","508","1000","4180"
"1","1000","100","50","10","23","384","502","1000","5354"
"5","1000","100","50","10","20","399","471","1000","5411"
"4","1000","100","50","10","27","377","500","1000","6872"
"6","1000","100","50","10","28","409","474","1000","8239"
"2","1000","100","50","10","30","401","488","1000","8225"
"8","1000","100","50","10","21","375","508","1000","4550"
"5","1000","100","50","10","21","393","471","1000","5810"
"1","1000","100","50","10","24","373","502","1000","5738"
"6","1000","100","50","10","29","413","474","1000","8648"
"3","1000","100","50","10","14","310","495","1000","2610"
"4","1000","100","50","10","28","366","500","1000","7249"
"2","1000","100","50","10","31","393","488","1000","8626"
"8","1000","100","50","10","22","380","508","1000","4925"
"5","1000","100","50","10","22","405","471","1000","6203"
"6","1000","100","50","10","30","400","474","1000","9061"
"2","1000","100","50","10","32","391","488","1000","9019"
"8","1000","100","50","10","23","385","508","1000","5305"
"1","1000","100","50","10","25","370","502","1000","6111"
"4","1000","100","50","10","29","356","500","1000","7615"
"3","1000","100","50","10","15","321","495","1000","2920"
"6","1000","100","50","10","31","393","474","1000","9461"
"1","1000","100","50","10","26","375","502","1000","6481"
"2","1000","100","50","10","33","387","488","1000","9410"
"8","1000","100","50","10","24","372","508","1000","5690"
"4","1000","100","50","10","30","373","500","1000","7971"
"5","1000","100","50","10","23","396","471","1000","6608"
"6","1000","100","50","10","32","416","474","1000","9854"
"4","1000","100","50","10","31","365","500","1000","8344"
"1","1000","100","50","10","27","363","502","1000","6856"
"8","1000","100","50","10","25","369","508","1000","6062"
"2","1000","100","50","10","34","393","488","1000","9797"
"4","1000","100","50","10","32","363","500","1000","8709"
"6","1000","100","50","10","33","410","474","1000","10270"
"3","1000","100","50","10","16","324","495","1000","3241"
"5","1000","100","50","10","24","405","471","1000","7004"
"1","1000","100","50","10","28","367","502","1000","7219"
"7","1000","100","50","10","15","367","474","1000","2601"
"2","1000","100","50","10","35","389","488","1000","10190"
"6","1000","100","50","10","34","406","474","1000","10680"
"8","1000","100","50","10","26","373","508","1000","6431"
"4","1000","100","50","10","33","372","500","1000","9072"
"1","1000","100","50","10","29","382","502","1000","7586"
"3","1000","100","50","10","17","337","495","1000","3565"
"5","1000","100","50","10","25","411","471","1000","7409"
"2","1000","100","50","10","36","387","488","1000","10579"
"7","1000","100","50","10","16","380","474","1000","2968"
"6","1000","100","50","10","35","411","474","1000","11086"
"8","1000","100","50","10","27","376","508","1000","6804"
"7","1000","100","50","10","17","391","474","1000","3348"
"5","1000","100","50","10","26","391","471","1000","7820"
"1","1000","100","50","10","30","375","502","1000","7968"
"6","1000","100","50","10","36","421","474","1000","11497"
"3","1000","100","50","10","18","348","495","1000","3902"
"4","1000","100","50","10","34","382","500","1000","9444"
"2","1000","100","50","10","37","384","488","1000","10966"
"6","1000","100","50","10","37","413","474","1000","11918"
"4","1000","100","50","10","35","389","500","1000","9826"
"5","1000","100","50","10","27","397","471","1000","8211"
"8","1000","100","50","10","28","380","508","1000","7180"
"7","1000","100","50","10","18","387","474","1000","3739"
"3","1000","100","50","10","19","365","495","1000","4250"
"2","1000","100","50","10","38","379","488","1000","11350"
"6","1000","100","50","10","38","416","474","1000","12331"
"4","1000","100","50","10","36","378","500","1000","10215"
"5","1000","100","50","10","28","396","471","1000","8608"
"7","1000","100","50","10","19","401","474","1000","4126"
"8","1000","100","50","10","29","380","508","1000","7560"
"2","1000","100","50","10","39","378","488","1000","11729"
"6","1000","100","50","10","39","411","474","1000","12747"
"4","1000","100","50","10","37","377","500","1000","10593"
"3","1000","100","50","10","20","365","495","1000","4615"
"5","1000","100","50","10","29","391","471","1000","9004"
"8","1000","100","50","10","30","380","508","1000","7940"
"7","1000","100","50","10","20","408","474","1000","4527"
"2","1000","100","50","10","40","389","488","1000","12107"
"6","1000","100","50","10","40","413","474","1000","13158"
"4","1000","100","50","10","38","364","500","1000","10970"
"5","1000","100","50","10","30","394","471","1000","9395"
"3","1000","100","50","10","21","379","495","1000","4980"
"8","1000","100","50","10","31","375","508","1000","8320"
"6","1000","100","50","10","41","410","474","1000","13571"
"2","1000","100","50","10","41","406","488","1000","12496"
"7","1000","100","50","10","21","414","474","1000","4935"
"4","1000","100","50","10","39","367","500","1000","11334"
"5","1000","100","50","10","31","388","471","1000","9789"
"6","1000","100","50","10","42","418","474","1000","13981"
"2","1000","100","50","10","42","396","488","1000","12902"
"4","1000","100","50","10","40","367","500","1000","11701"
"7","1000","100","50","10","22","399","474","1000","5349"
"3","1000","100","50","10","22","387","495","1000","5359"
"8","1000","100","50","10","32","369","508","1000","8695"
"6","1000","100","50","10","43","418","474","1000","14399"
"2","1000","100","50","10","43","378","488","1000","13298"
"4","1000","100","50","10","41","372","500","1000","12068"
