[run number],initial-people,num-infect,immune-chance,recovery-chance,[step],count turtles with [infected?],count turtles
1,100,1,50,50,0,0,100
3,100,1,50,50,0,0,100
1,100,1,50,50,1,0,100
3,100,1,50,50,1,0,100
1,100,1,50,50,2,0,100
3,100,1,50,50,2,0,100
3,100,1,50,50,3,0,100
1,100,1,50,50,3,0,100
1,100,1,50,50,4,0,100
3,100,1,50,50,4,0,100
1,100,1,50,50,5,0,100
3,100,1,50,50,5,0,100
1,100,1,50,50,6,0,100
3,100,1,50,50,6,0,100
1,100,1,50,50,7,0,100
3,100,1,50,50,7,0,100
3,100,1,50,50,8,0,100
1,100,1,50,50,8,0,100
5,100,1,50,50,0,1,100
4,100,1,50,50,0,0,100
1,100,1,50,50,9,0,100
3,100,1,50,50,9,0,100
2,100,1,50,50,0,1,100
1,100,1,50,50,10,0,100
3,100,1,50,50,10,0,100
1,100,1,50,50,11,0,100
3,100,1,50,50,11,0,100
1,100,1,50,50,12,0,100
3,100,1,50,50,12,0,100
1,100,1,50,50,13,0,100
3,100,1,50,50,13,0,100
1,100,1,50,50,14,0,100
3,100,1,50,50,14,0,100
1,100,1,50,50,15,0,100
4,100,1,50,50,1,0,100
3,100,1,50,50,15,0,100
6,100,11,50,50,0,2,100
1,100,1,50,50,16,0,100
8,100,11,50,50,0,6,100
3,100,1,50,50,16,0,100
1,100,1,50,50,17,0,100
4,100,1,50,50,2,0,100
3,100,1,50,50,17,0,100
1,100,1,50,50,18,0,100
4,100,1,50,50,3,0,100
3,100,1,50,50,18,0,100
1,100,1,50,50,19,0,100
4,100,1,50,50,4,0,100
7,100,11,50,50,0,7,100
1,100,1,50,50,20,0,100
5,100,1,50,50,1,1,100
4,100,1,50,50,5,0,100
3,100,1,50,50,19,0,100
1,100,1,50,50,21,0,100
4,100,1,50,50,6,0,100
5,100,1,50,50,2,0,100
1,100,1,50,50,22,0,100
3,100,1,50,50,20,0,100
4,100,1,50,50,7,0,100
5,100,1,50,50,3,0,100
1,100,1,50,50,23,0,100
8,100,11,50,50,1,3,100
3,100,1,50,50,21,0,100
4,100,1,50,50,8,0,100
6,100,11,50,50,1,0,100
5,100,1,50,50,4,0,100
1,100,1,50,50,24,0,100
4,100,1,50,50,9,0,100
2,100,1,50,50,1,0,100
6,100,11,50,50,2,0,100
3,100,1,50,50,22,0,100
1,100,1,50,50,25,0,100
5,100,1,50,50,5,0,100
4,100,1,50,50,10,0,100
8,100,11,50,50,2,1,100
6,100,11,50,50,3,0,100
1,100,1,50,50,26,0,100
4,100,1,50,50,11,0,100
2,100,1,50,50,2,0,100
7,100,11,50,50,1,2,100
3,100,1,50,50,23,0,100
6,100,11,50,50,4,0,100
5,100,1,50,50,6,0,100
1,100,1,50,50,27,0,100
