[run number],initial-people,num-infect,immune-chance,recovery-chance,[step],count turtles with [infected?],count turtles,sum [sicktime] of turtles
7,100,11,50,50,0,7,100,0
5,100,1,50,50,0,1,100,0
6,100,11,50,50,0,6,100,0
8,100,11,50,50,0,7,100,0
2,100,1,50,50,0,0,100,0
4,100,1,50,50,0,1,100,0
1,100,1,50,50,0,1,100,0
3,100,1,50,50,0,1,100,0
2,100,1,50,50,1,0,100,0
3,100,1,50,50,1,0,100,1
1,100,1,50,50,1,0,100,1
6,100,11,50,50,1,4,100,6
5,100,1,50,50,1,0,100,1
4,100,1,50,50,1,1,100,1
7,100,11,50,50,1,5,100,7
1,100,1,50,50,2,0,100,1
2,100,1,50,50,2,0,100,0
8,100,11,50,50,1,5,100,7
3,100,1,50,50,2,0,100,1
4,100,1,50,50,2,0,100,2
6,100,11,50,50,2,3,100,10
5,100,1,50,50,2,0,100,1
2,100,1,50,50,3,0,100,0
1,100,1,50,50,3,0,100,1
1,100,1,50,50,4,0,100,1
2,100,1,50,50,4,0,100,0
8,100,11,50,50,2,2,100,12
5,100,1,50,50,3,0,100,1
3,100,1,50,50,3,0,100,1
4,100,1,50,50,3,0,100,2
6,100,11,50,50,3,1,100,13
7,100,11,50,50,2,3,100,12
8,100,11,50,50,3,1,100,14
4,100,1,50,50,4,0,100,2
3,100,1,50,50,4,0,100,1
7,100,11,50,50,3,1,100,15
1,100,1,50,50,5,0,100,1
5,100,1,50,50,4,0,100,1
2,100,1,50,50,5,0,100,0
4,100,1,50,50,5,0,100,2
8,100,11,50,50,4,1,100,15
7,100,11,50,50,4,0,100,16
6,100,11,50,50,4,0,100,14
5,100,1,50,50,5,0,100,1
2,100,1,50,50,6,0,100,0
1,100,1,50,50,6,0,100,1
3,100,1,50,50,5,0,100,1
7,100,11,50,50,5,0,100,16
4,100,1,50,50,6,0,100,2
8,100,11,50,50,5,0,100,16
5,100,1,50,50,6,0,100,1
6,100,11,50,50,5,0,100,14
2,100,1,50,50,7,0,100,0
1,100,1,50,50,7,0,100,1
4,100,1,50,50,7,0,100,2
3,100,1,50,50,6,0,100,1
8,100,11,50,50,6,0,100,16
5,100,1,50,50,7,0,100,1
2,100,1,50,50,8,0,100,0
7,100,11,50,50,6,0,100,16
4,100,1,50,50,8,0,100,2
8,100,11,50,50,7,0,100,16
1,100,1,50,50,8,0,100,1
5,100,1,50,50,8,0,100,1
6,100,11,50,50,6,0,100,14
3,100,1,50,50,7,0,100,1
2,100,1,50,50,9,0,100,0
1,100,1,50,50,9,0,100,1
6,100,11,50,50,7,0,100,14
8,100,11,50,50,8,0,100,16
7,100,11,50,50,7,0,100,16
2,100,1,50,50,10,0,100,0
5,100,1,50,50,9,0,100,1
3,100,1,50,50,8,0,100,1
1,100,1,50,50,10,0,100,1
2,100,1,50,50,11,0,100,0
6,100,11,50,50,8,0,100,14
4,100,1,50,50,9,0,100,2
7,100,11,50,50,8,0,100,16
8,100,11,50,50,9,0,100,16
1,100,1,50,50,11,0,100,1
5,100,1,50,50,10,0,100,1
2,100,1,50,50,12,0,100,0
3,100,1,50,50,9,0,100,1
4,100,1,50,50,10,0,100,2
7,100,11,50,50,9,0,100,16
1,100,1,50,50,12,0,100,1
5,100,1,50,50,11,0,100,1
6,100,11,50,50,9,0,100,14
4,100,1,50,50,11,0,100,2
8,100,11,50,50,10,0,100,16
3,100,1,50,50,10,0,100,1
4,100,1,50,50,12,0,100,2
7,100,11,50,50,10,0,100,16
8,100,11,50,50,11,0,100,16
1,100,1,50,50,13,0,100,1
5,100,1,50,50,12,0,100,1
2,100,1,50,50,13,0,100,0
3,100,1,50,50,11,0,100,1
6,100,11,50,50,10,0,100,14
4,100,1,50,50,13,0,100,2
7,100,11,50,50,11,0,100,16
1,100,1,50,50,14,0,100,1
2,100,1,50,50,14,0,100,0
5,100,1,50,50,13,0,100,1
6,100,11,50,50,11,0,100,14
1,100,1,50,50,15,0,100,1
2,100,1,50,50,15,0,100,0
3,100,1,50,50,12,0,100,1
8,100,11,50,50,12,0,100,16
4,100,1,50,50,14,0,100,2
5,100,1,50,50,14,0,100,1
6,100,11,50,50,12,0,100,14
2,100,1,50,50,16,0,100,0
1,100,1,50,50,16,0,100,1
6,100,11,50,50,13,0,100,14
