"BehaviorSpace results (NetLogo 6.0.4)"
"epidemic.nlogo"
"baseline"
"04/02/2019 11:40:33:873 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","initial-people","num-infect","immune-chance","recovery-chance","[step]","count turtles with [infected?]","count turtles"
"6","500","1","50","50","0","1","500"
"3","500","1","50","50","0","1","500"
"5","500","1","50","50","0","1","500"
"7","500","1","50","50","0","0","500"
"5","500","1","50","50","1","1","500"
"3","500","1","50","50","1","1","500"
"6","500","1","50","50","1","0","500"
"5","500","1","50","50","2","1","500"
"1","500","1","50","50","0","0","500"
"3","500","1","50","50","2","1","500"
"4","500","1","50","50","0","0","500"
"6","500","1","50","50","2","0","500"
"8","500","1","50","50","0","0","500"
"2","500","1","50","50","0","1","500"
"3","500","1","50","50","3","4","500"
"5","500","1","50","50","3","0","500"
"6","500","1","50","50","3","0","500"
"7","500","1","50","50","1","0","500"
"3","500","1","50","50","4","3","500"
"1","500","1","50","50","1","0","500"
"6","500","1","50","50","4","0","500"
"4","500","1","50","50","1","0","500"
"3","500","1","50","50","5","1","500"
"1","500","1","50","50","2","0","500"
"6","500","1","50","50","5","0","500"
"4","500","1","50","50","2","0","500"
"3","500","1","50","50","6","1","500"
"5","500","1","50","50","4","0","500"
"8","500","1","50","50","1","0","500"
"7","500","1","50","50","2","0","500"
"6","500","1","50","50","6","0","500"
"5","500","1","50","50","5","0","500"
"8","500","1","50","50","2","0","500"
"1","500","1","50","50","3","0","500"
"6","500","1","50","50","7","0","500"
"3","500","1","50","50","7","1","500"
"5","500","1","50","50","6","0","500"
"6","500","1","50","50","8","0","500"
"3","500","1","50","50","8","1","500"
"4","500","1","50","50","3","0","500"
"7","500","1","50","50","3","0","500"
"8","500","1","50","50","3","0","500"
"6","500","1","50","50","9","0","500"
"6","500","1","50","50","10","0","500"
"5","500","1","50","50","7","0","500"
"1","500","1","50","50","4","0","500"
"2","500","1","50","50","1","2","500"
"3","500","1","50","50","9","0","500"
"4","500","1","50","50","4","0","500"
"6","500","1","50","50","11","0","500"
"8","500","1","50","50","4","0","500"
"7","500","1","50","50","4","0","500"
"5","500","1","50","50","8","0","500"
"6","500","1","50","50","12","0","500"
"3","500","1","50","50","10","0","500"
"4","500","1","50","50","5","0","500"
"8","500","1","50","50","5","0","500"
"2","500","1","50","50","2","1","500"
"6","500","1","50","50","13","0","500"
"5","500","1","50","50","9","0","500"
"3","500","1","50","50","11","0","500"
"8","500","1","50","50","6","0","500"
"5","500","1","50","50","10","0","500"
"1","500","1","50","50","5","0","500"
"7","500","1","50","50","5","0","500"
"8","500","1","50","50","7","0","500"
"2","500","1","50","50","3","2","500"
"5","500","1","50","50","11","0","500"
"4","500","1","50","50","6","0","500"
"3","500","1","50","50","12","0","500"
"1","500","1","50","50","6","0","500"
"8","500","1","50","50","8","0","500"
"6","500","1","50","50","14","0","500"
"7","500","1","50","50","6","0","500"
"8","500","1","50","50","9","0","500"
"3","500","1","50","50","13","0","500"
"4","500","1","50","50","7","0","500"
"1","500","1","50","50","7","0","500"
"5","500","1","50","50","12","0","500"
"6","500","1","50","50","15","0","500"
"5","500","1","50","50","13","0","500"
"2","500","1","50","50","4","1","500"
"8","500","1","50","50","10","0","500"
"3","500","1","50","50","14","0","500"
"7","500","1","50","50","7","0","500"
"5","500","1","50","50","14","0","500"
"6","500","1","50","50","16","0","500"
"3","500","1","50","50","15","0","500"
"8","500","1","50","50","11","0","500"
"2","500","1","50","50","5","1","500"
"5","500","1","50","50","15","0","500"
"4","500","1","50","50","8","0","500"
"6","500","1","50","50","17","0","500"
"8","500","1","50","50","12","0","500"
"7","500","1","50","50","8","0","500"
"5","500","1","50","50","16","0","500"
"3","500","1","50","50","16","0","500"
"6","500","1","50","50","18","0","500"
"5","500","1","50","50","17","0","500"
"8","500","1","50","50","13","0","500"
"3","500","1","50","50","17","0","500"
"4","500","1","50","50","9","0","500"
"6","500","1","50","50","19","0","500"
"8","500","1","50","50","14","0","500"
"1","500","1","50","50","8","0","500"
"2","500","1","50","50","6","0","500"
"3","500","1","50","50","18","0","500"
"8","500","1","50","50","15","0","500"
"6","500","1","50","50","20","0","500"
"7","500","1","50","50","9","0","500"
"4","500","1","50","50","10","0","500"
"5","500","1","50","50","18","0","500"
"3","500","1","50","50","19","0","500"
"8","500","1","50","50","16","0","500"
"6","500","1","50","50","21","0","500"
"1","500","1","50","50","9","0","500"
"4","500","1","50","50","11","0","500"
"2","500","1","50","50","7","0","500"
"8","500","1","50","50","17","0","500"
"6","500","1","50","50","22","0","500"
"3","500","1","50","50","20","0","500"
"1","500","1","50","50","10","0","500"
"5","500","1","50","50","19","0","500"
"6","500","1","50","50","23","0","500"
"1","500","1","50","50","11","0","500"
"4","500","1","50","50","12","0","500"
"3","500","1","50","50","21","0","500"
"5","500","1","50","50","20","0","500"
"5","500","1","50","50","21","0","500"
"3","500","1","50","50","22","0","500"
"7","500","1","50","50","10","0","500"
"8","500","1","50","50","18","0","500"
"2","500","1","50","50","8","0","500"
"6","500","1","50","50","24","0","500"
"1","500","1","50","50","12","0","500"
"3","500","1","50","50","23","0","500"
"6","500","1","50","50","25","0","500"
"3","500","1","50","50","24","0","500"
"4","500","1","50","50","13","0","500"
"8","500","1","50","50","19","0","500"
"3","500","1","50","50","25","0","500"
"1","500","1","50","50","13","0","500"
"6","500","1","50","50","26","0","500"
"1","500","1","50","50","14","0","500"
"4","500","1","50","50","14","0","500"
"3","500","1","50","50","26","0","500"
"6","500","1","50","50","27","0","500"
"5","500","1","50","50","22","0","500"
"8","500","1","50","50","20","0","500"
"8","500","1","50","50","21","0","500"
"6","500","1","50","50","28","0","500"
"1","500","1","50","50","15","0","500"
"4","500","1","50","50","15","0","500"
"3","500","1","50","50","27","0","500"
"6","500","1","50","50","29","0","500"
"1","500","1","50","50","16","0","500"
"3","500","1","50","50","28","0","500"
"4","500","1","50","50","16","0","500"
"3","500","1","50","50","29","0","500"
"6","500","1","50","50","30","0","500"
"5","500","1","50","50","23","0","500"
"1","500","1","50","50","17","0","500"
"5","500","1","50","50","24","0","500"
"3","500","1","50","50","30","0","500"
"4","500","1","50","50","17","0","500"
"6","500","1","50","50","31","0","500"
"1","500","1","50","50","18","0","500"
"3","500","1","50","50","31","0","500"
"5","500","1","50","50","25","0","500"
"3","500","1","50","50","32","0","500"
"6","500","1","50","50","32","0","500"
"1","500","1","50","50","19","0","500"
"4","500","1","50","50","18","0","500"
"7","500","1","50","50","11","0","500"
"2","500","1","50","50","9","0","500"
"5","500","1","50","50","26","0","500"
"6","500","1","50","50","33","0","500"
"1","500","1","50","50","20","0","500"
"3","500","1","50","50","33","0","500"
"4","500","1","50","50","19","0","500"
"6","500","1","50","50","34","0","500"
"5","500","1","50","50","27","0","500"
"1","500","1","50","50","21","0","500"
"6","500","1","50","50","35","0","500"
"5","500","1","50","50","28","0","500"
"4","500","1","50","50","20","0","500"
"1","500","1","50","50","22","0","500"
"4","500","1","50","50","21","0","500"
"1","500","1","50","50","23","0","500"
"5","500","1","50","50","29","0","500"
"4","500","1","50","50","22","0","500"
"8","500","1","50","50","22","0","500"
"1","500","1","50","50","24","0","500"
"4","500","1","50","50","23","0","500"
"5","500","1","50","50","30","0","500"
"7","500","1","50","50","12","0","500"
"1","500","1","50","50","25","0","500"
"2","500","1","50","50","10","0","500"
"4","500","1","50","50","24","0","500"
"1","500","1","50","50","26","0","500"
"5","500","1","50","50","31","0","500"
"4","500","1","50","50","25","0","500"
"1","500","1","50","50","27","0","500"
"6","500","1","50","50","36","0","500"
"8","500","1","50","50","23","0","500"
"4","500","1","50","50","26","0","500"
"3","500","1","50","50","34","0","500"
"5","500","1","50","50","32","0","500"
"7","500","1","50","50","13","0","500"
"6","500","1","50","50","37","0","500"
"4","500","1","50","50","27","0","500"
"2","500","1","50","50","11","0","500"
"8","500","1","50","50","24","0","500"
"6","500","1","50","50","38","0","500"
"3","500","1","50","50","35","0","500"
"6","500","1","50","50","39","0","500"
"4","500","1","50","50","28","0","500"
"8","500","1","50","50","25","0","500"
"7","500","1","50","50","14","0","500"
"2","500","1","50","50","12","0","500"
"3","500","1","50","50","36","0","500"
"5","500","1","50","50","33","0","500"
"8","500","1","50","50","26","0","500"
"3","500","1","50","50","37","0","500"
"6","500","1","50","50","40","0","500"
"4","500","1","50","50","29","0","500"
"7","500","1","50","50","15","0","500"
"2","500","1","50","50","13","0","500"
"3","500","1","50","50","38","0","500"
"6","500","1","50","50","41","0","500"
"4","500","1","50","50","30","0","500"
"3","500","1","50","50","39","0","500"
"6","500","1","50","50","42","0","500"
"8","500","1","50","50","27","0","500"
"7","500","1","50","50","16","0","500"
"4","500","1","50","50","31","0","500"
"3","500","1","50","50","40","0","500"
"6","500","1","50","50","43","0","500"
"2","500","1","50","50","14","0","500"
"8","500","1","50","50","28","0","500"
"3","500","1","50","50","41","0","500"
"4","500","1","50","50","32","0","500"
"6","500","1","50","50","44","0","500"
"8","500","1","50","50","29","0","500"
"7","500","1","50","50","17","0","500"
"2","500","1","50","50","15","0","500"
"3","500","1","50","50","42","0","500"
"6","500","1","50","50","45","0","500"
"8","500","1","50","50","30","0","500"
"3","500","1","50","50","43","0","500"
"6","500","1","50","50","46","0","500"
"1","500","1","50","50","28","0","500"
"3","500","1","50","50","44","0","500"
"7","500","1","50","50","18","0","500"
"2","500","1","50","50","16","0","500"
"6","500","1","50","50","47","0","500"
"3","500","1","50","50","45","0","500"
"1","500","1","50","50","29","0","500"
"6","500","1","50","50","48","0","500"
"8","500","1","50","50","31","0","500"
"7","500","1","50","50","19","0","500"
"3","500","1","50","50","46","0","500"
"1","500","1","50","50","30","0","500"
"6","500","1","50","50","49","0","500"
"2","500","1","50","50","17","0","500"
"3","500","1","50","50","47","0","500"
"8","500","1","50","50","32","0","500"
"6","500","1","50","50","50","0","500"
"1","500","1","50","50","31","0","500"
"3","500","1","50","50","48","0","500"
"8","500","1","50","50","33","0","500"
"6","500","1","50","50","51","0","500"
"1","500","1","50","50","32","0","500"
"7","500","1","50","50","20","0","500"
"8","500","1","50","50","34","0","500"
"3","500","1","50","50","49","0","500"
"4","500","1","50","50","33","0","500"
"6","500","1","50","50","52","0","500"
"2","500","1","50","50","18","0","500"
"7","500","1","50","50","21","0","500"
"1","500","1","50","50","33","0","500"
"6","500","1","50","50","53","0","500"
"3","500","1","50","50","50","0","500"
"7","500","1","50","50","22","0","500"
"2","500","1","50","50","19","0","500"
"6","500","1","50","50","54","0","500"
"1","500","1","50","50","34","0","500"
"4","500","1","50","50","34","0","500"
"8","500","1","50","50","35","0","500"
"7","500","1","50","50","23","0","500"
"2","500","1","50","50","20","0","500"
"3","500","1","50","50","51","0","500"
"1","500","1","50","50","35","0","500"
"6","500","1","50","50","55","0","500"
"2","500","1","50","50","21","0","500"
"3","500","1","50","50","52","0","500"
"7","500","1","50","50","24","0","500"
"1","500","1","50","50","36","0","500"
"4","500","1","50","50","35","0","500"
"3","500","1","50","50","53","0","500"
"2","500","1","50","50","22","0","500"
"7","500","1","50","50","25","0","500"
"1","500","1","50","50","37","0","500"
"6","500","1","50","50","56","0","500"
"2","500","1","50","50","23","0","500"
"4","500","1","50","50","36","0","500"
"3","500","1","50","50","54","0","500"
"1","500","1","50","50","38","0","500"
"7","500","1","50","50","26","0","500"
"6","500","1","50","50","57","0","500"
"1","500","1","50","50","39","0","500"
"4","500","1","50","50","37","0","500"
"3","500","1","50","50","55","0","500"
"2","500","1","50","50","24","0","500"
"7","500","1","50","50","27","0","500"
"1","500","1","50","50","40","0","500"
"6","500","1","50","50","58","0","500"
"2","500","1","50","50","25","0","500"
"7","500","1","50","50","28","0","500"
"3","500","1","50","50","56","0","500"
"1","500","1","50","50","41","0","500"
"2","500","1","50","50","26","0","500"
"7","500","1","50","50","29","0","500"
"6","500","1","50","50","59","0","500"
"4","500","1","50","50","38","0","500"
"1","500","1","50","50","42","0","500"
"3","500","1","50","50","57","0","500"
"2","500","1","50","50","27","0","500"
"7","500","1","50","50","30","0","500"
"1","500","1","50","50","43","0","500"
"4","500","1","50","50","39","0","500"
"6","500","1","50","50","60","0","500"
"2","500","1","50","50","28","0","500"
"7","500","1","50","50","31","0","500"
"1","500","1","50","50","44","0","500"
"3","500","1","50","50","58","0","500"
"7","500","1","50","50","32","0","500"
"2","500","1","50","50","29","0","500"
"4","500","1","50","50","40","0","500"
"6","500","1","50","50","61","0","500"
"1","500","1","50","50","45","0","500"
"6","500","1","50","50","62","0","500"
"3","500","1","50","50","59","0","500"
"1","500","1","50","50","46","0","500"
"4","500","1","50","50","41","0","500"
"2","500","1","50","50","30","0","500"
"7","500","1","50","50","33","0","500"
"7","500","1","50","50","34","0","500"
