"BehaviorSpace results (NetLogo 6.0.4)"
"epidemic.nlogo"
"immunity"
"04/02/2019 11:45:53:960 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","initial-people","num-infect","immune-chance","recovery-chance","[step]","count turtles with [infected?]","count turtles"
"8","500","1","90","10","0","0","500"
"5","500","1","90","10","0","0","500"
"6","500","1","90","10","0","0","500"
"3","500","1","90","10","0","0","500"
"2","500","1","90","10","0","1","500"
"1","500","1","90","10","0","0","500"
"8","500","1","90","10","1","0","500"
"6","500","1","90","10","1","0","500"
"5","500","1","90","10","1","0","500"
"4","500","1","90","10","0","0","500"
"3","500","1","90","10","1","0","500"
"8","500","1","90","10","2","0","500"
"1","500","1","90","10","1","0","500"
"6","500","1","90","10","2","0","500"
"2","500","1","90","10","1","1","500"
"5","500","1","90","10","2","0","500"
"3","500","1","90","10","2","0","500"
"8","500","1","90","10","3","0","500"
"1","500","1","90","10","2","0","500"
"4","500","1","90","10","1","0","500"
"7","500","1","90","10","0","0","500"
"2","500","1","90","10","2","1","500"
"6","500","1","90","10","3","0","500"
"5","500","1","90","10","3","0","500"
"1","500","1","90","10","3","0","500"
"2","500","1","90","10","3","2","500"
"4","500","1","90","10","2","0","500"
"5","500","1","90","10","4","0","500"
"6","500","1","90","10","4","0","500"
"3","500","1","90","10","3","0","500"
"4","500","1","90","10","3","0","500"
"2","500","1","90","10","4","2","500"
"5","500","1","90","10","5","0","500"
"1","500","1","90","10","4","0","500"
"7","500","1","90","10","1","0","500"
"8","500","1","90","10","4","0","500"
"6","500","1","90","10","5","0","500"
"4","500","1","90","10","4","0","500"
"2","500","1","90","10","5","2","500"
"1","500","1","90","10","5","0","500"
"5","500","1","90","10","6","0","500"
"3","500","1","90","10","4","0","500"
"4","500","1","90","10","5","0","500"
"5","500","1","90","10","7","0","500"
"6","500","1","90","10","6","0","500"
"7","500","1","90","10","2","0","500"
"2","500","1","90","10","6","2","500"
"1","500","1","90","10","6","0","500"
"8","500","1","90","10","5","0","500"
"5","500","1","90","10","8","0","500"
"4","500","1","90","10","6","0","500"
