"BehaviorSpace results (NetLogo 6.0.4)"
"epidemic.nlogo"
"recovery"
"04/02/2019 11:45:30:544 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","initial-people","num-infect","immune-chance","recovery-chance","[step]","count turtles with [infected?]","count turtles"
"1","500","1","10","90","0","1","500"
"7","500","1","10","90","0","1","500"
"4","500","1","10","90","0","1","500"
"3","500","1","10","90","0","1","500"
"2","500","1","10","90","0","1","500"
"6","500","1","10","90","0","1","500"
"8","500","1","10","90","0","1","500"
"5","500","1","10","90","0","1","500"
"3","500","1","10","90","1","0","500"
"7","500","1","10","90","1","0","500"
"4","500","1","10","90","1","0","500"
"1","500","1","10","90","1","1","500"
"2","500","1","10","90","1","0","500"
"3","500","1","10","90","2","0","500"
"8","500","1","10","90","1","1","500"
"7","500","1","10","90","2","0","500"
"4","500","1","10","90","2","0","500"
"6","500","1","10","90","1","0","500"
"5","500","1","10","90","1","0","500"
"1","500","1","10","90","2","0","500"
"3","500","1","10","90","3","0","500"
"6","500","1","10","90","2","0","500"
"7","500","1","10","90","3","0","500"
"3","500","1","10","90","4","0","500"
"1","500","1","10","90","3","0","500"
"8","500","1","10","90","2","2","500"
"4","500","1","10","90","3","0","500"
"2","500","1","10","90","2","0","500"
"6","500","1","10","90","3","0","500"
"3","500","1","10","90","5","0","500"
"8","500","1","10","90","3","1","500"
"1","500","1","10","90","4","0","500"
"2","500","1","10","90","3","0","500"
"5","500","1","10","90","2","0","500"
"7","500","1","10","90","4","0","500"
"3","500","1","10","90","6","0","500"
"8","500","1","10","90","4","1","500"
"2","500","1","10","90","4","0","500"
"4","500","1","10","90","4","0","500"
"6","500","1","10","90","4","0","500"
"3","500","1","10","90","7","0","500"
"1","500","1","10","90","5","0","500"
"5","500","1","10","90","3","0","500"
"7","500","1","10","90","5","0","500"
"3","500","1","10","90","8","0","500"
"6","500","1","10","90","5","0","500"
"4","500","1","10","90","5","0","500"
"7","500","1","10","90","6","0","500"
"5","500","1","10","90","4","0","500"
"3","500","1","10","90","9","0","500"
"2","500","1","10","90","5","0","500"
"8","500","1","10","90","5","1","500"
"3","500","1","10","90","10","0","500"
"1","500","1","10","90","6","0","500"
"6","500","1","10","90","6","0","500"
"8","500","1","10","90","6","0","500"
"5","500","1","10","90","5","0","500"
"4","500","1","10","90","6","0","500"
"2","500","1","10","90","6","0","500"
"3","500","1","10","90","11","0","500"
"1","500","1","10","90","7","0","500"
"7","500","1","10","90","7","0","500"
"8","500","1","10","90","7","0","500"
"3","500","1","10","90","12","0","500"
"6","500","1","10","90","7","0","500"
"2","500","1","10","90","7","0","500"
"1","500","1","10","90","8","0","500"
"8","500","1","10","90","8","0","500"
"5","500","1","10","90","6","0","500"
"3","500","1","10","90","13","0","500"
"4","500","1","10","90","7","0","500"
"6","500","1","10","90","8","0","500"
"3","500","1","10","90","14","0","500"
"8","500","1","10","90","9","0","500"
"1","500","1","10","90","9","0","500"
"7","500","1","10","90","8","0","500"
"2","500","1","10","90","8","0","500"
"3","500","1","10","90","15","0","500"
"6","500","1","10","90","9","0","500"
"8","500","1","10","90","10","0","500"
"5","500","1","10","90","7","0","500"
"3","500","1","10","90","16","0","500"
"1","500","1","10","90","10","0","500"
"2","500","1","10","90","9","0","500"
"6","500","1","10","90","10","0","500"
"8","500","1","10","90","11","0","500"
"3","500","1","10","90","17","0","500"
"6","500","1","10","90","11","0","500"
"3","500","1","10","90","18","0","500"
"4","500","1","10","90","8","0","500"
"5","500","1","10","90","8","0","500"
"8","500","1","10","90","12","0","500"
"2","500","1","10","90","10","0","500"
"3","500","1","10","90","19","0","500"
"3","500","1","10","90","20","0","500"
"1","500","1","10","90","11","0","500"
"7","500","1","10","90","9","0","500"
"6","500","1","10","90","12","0","500"
"3","500","1","10","90","21","0","500"
"8","500","1","10","90","13","0","500"
"2","500","1","10","90","11","0","500"
"5","500","1","10","90","9","0","500"
"3","500","1","10","90","22","0","500"
