[run number],initial-people,num-infect,immune-chance,recovery-chance,[step],count turtles with [infected?],count turtles with [immune? = true],count turtles,sum [sicktime] of turtles
5,1000,100,50,10,0,43,514,1000,0
2,1000,100,50,10,0,57,497,1000,0
1,1000,100,50,10,0,57,477,1000,0
4,1000,100,50,10,0,46,520,1000,0
3,1000,100,50,10,0,45,497,1000,0
5,1000,100,50,10,1,47,514,1000,43
2,1000,100,50,10,1,78,497,1000,57
1,1000,100,50,10,1,86,477,1000,57
4,1000,100,50,10,1,59,520,1000,46
3,1000,100,50,10,1,59,497,1000,45
5,1000,100,50,10,2,57,514,1000,90
2,1000,100,50,10,2,93,497,1000,135
1,1000,100,50,10,2,97,477,1000,143
4,1000,100,50,10,2,80,520,1000,105
3,1000,100,50,10,2,67,497,1000,104
5,1000,100,50,10,3,75,514,1000,147
2,1000,100,50,10,3,104,497,1000,228
1,1000,100,50,10,3,116,477,1000,240
5,1000,100,50,10,4,93,514,1000,222
3,1000,100,50,10,3,91,497,1000,171
4,1000,100,50,10,3,89,520,1000,185
2,1000,100,50,10,4,118,497,1000,332
1,1000,100,50,10,4,139,477,1000,356
3,1000,100,50,10,4,122,497,1000,262
4,1000,100,50,10,4,101,520,1000,274
5,1000,100,50,10,5,112,514,1000,315
2,1000,100,50,10,5,153,497,1000,450
1,1000,100,50,10,5,172,477,1000,495
5,1000,100,50,10,6,128,514,1000,427
3,1000,100,50,10,5,138,497,1000,384
4,1000,100,50,10,5,123,520,1000,375
2,1000,100,50,10,6,166,497,1000,603
5,1000,100,50,10,7,147,514,1000,555
3,1000,100,50,10,6,164,497,1000,522
4,1000,100,50,10,6,132,520,1000,498
1,1000,100,50,10,6,200,477,1000,667
3,1000,100,50,10,7,192,497,1000,686
5,1000,100,50,10,8,165,514,1000,702
4,1000,100,50,10,7,156,520,1000,630
2,1000,100,50,10,7,182,497,1000,769
5,1000,100,50,10,9,181,514,1000,867
3,1000,100,50,10,8,217,497,1000,878
2,1000,100,50,10,8,212,497,1000,951
4,1000,100,50,10,8,174,520,1000,786
5,1000,100,50,10,10,199,514,1000,1048
3,1000,100,50,10,9,244,497,1000,1095
2,1000,100,50,10,9,224,497,1000,1163
4,1000,100,50,10,9,201,520,1000,960
5,1000,100,50,10,11,216,514,1000,1247
3,1000,100,50,10,10,256,497,1000,1339
2,1000,100,50,10,10,238,497,1000,1387
5,1000,100,50,10,12,244,514,1000,1463
4,1000,100,50,10,10,240,520,1000,1161
2,1000,100,50,10,11,269,497,1000,1625
4,1000,100,50,10,11,257,520,1000,1401
5,1000,100,50,10,13,247,514,1000,1707
1,1000,100,50,10,7,226,477,1000,867
2,1000,100,50,10,12,297,497,1000,1894
4,1000,100,50,10,12,280,520,1000,1658
1,1000,100,50,10,8,242,477,1000,1093
5,1000,100,50,10,14,272,514,1000,1954
2,1000,100,50,10,13,315,497,1000,2191
4,1000,100,50,10,13,305,520,1000,1938
1,1000,100,50,10,9,256,477,1000,1335
3,1000,100,50,10,11,273,497,1000,1595
2,1000,100,50,10,14,316,497,1000,2506
4,1000,100,50,10,14,320,520,1000,2243
1,1000,100,50,10,10,286,477,1000,1591
3,1000,100,50,10,12,280,497,1000,1868
5,1000,100,50,10,15,286,514,1000,2226
2,1000,100,50,10,15,320,497,1000,2822
