[run number],initial-people,num-infect,immune-chance,recovery-chance,[step],count turtles with [infected?],count turtles with [immune? = true],count turtles,sum [sicktime] of turtles
5,1000,100,80,10,0,19,817,1000,0
1,1000,100,80,10,0,25,822,1000,0
2,1000,100,80,10,0,20,790,1000,0
4,1000,100,80,10,0,19,812,1000,0
3,1000,100,80,10,0,18,785,1000,0
5,1000,100,80,10,1,20,817,1000,19
1,1000,100,80,10,1,26,822,1000,25
2,1000,100,80,10,1,25,790,1000,20
3,1000,100,80,10,1,20,785,1000,18
4,1000,100,80,10,1,24,812,1000,19
5,1000,100,80,10,2,20,817,1000,39
1,1000,100,80,10,2,26,822,1000,51
4,1000,100,80,10,2,22,812,1000,43
3,1000,100,80,10,2,20,785,1000,38
2,1000,100,80,10,2,30,790,1000,45
5,1000,100,80,10,3,16,817,1000,59
1,1000,100,80,10,3,33,822,1000,77
4,1000,100,80,10,3,25,812,1000,65
3,1000,100,80,10,3,19,785,1000,58
2,1000,100,80,10,3,30,790,1000,75
5,1000,100,80,10,4,15,817,1000,75
1,1000,100,80,10,4,34,822,1000,110
4,1000,100,80,10,4,26,812,1000,90
5,1000,100,80,10,5,13,817,1000,90
2,1000,100,80,10,4,34,790,1000,105
3,1000,100,80,10,4,23,785,1000,77
1,1000,100,80,10,5,36,822,1000,144
5,1000,100,80,10,6,12,817,1000,103
3,1000,100,80,10,5,24,785,1000,100
4,1000,100,80,10,5,25,812,1000,116
2,1000,100,80,10,5,37,790,1000,139
1,1000,100,80,10,6,34,822,1000,180
5,1000,100,80,10,7,14,817,1000,115
3,1000,100,80,10,6,27,785,1000,124
5,1000,100,80,10,8,12,817,1000,129
4,1000,100,80,10,6,27,812,1000,141
1,1000,100,80,10,7,37,822,1000,214
2,1000,100,80,10,6,38,790,1000,176
5,1000,100,80,10,9,10,817,1000,141
4,1000,100,80,10,7,29,812,1000,168
3,1000,100,80,10,7,31,785,1000,151
2,1000,100,80,10,7,38,790,1000,214
1,1000,100,80,10,8,35,822,1000,251
4,1000,100,80,10,8,27,812,1000,197
3,1000,100,80,10,8,32,785,1000,182
5,1000,100,80,10,10,9,817,1000,151
1,1000,100,80,10,9,32,822,1000,286
2,1000,100,80,10,8,40,790,1000,252
5,1000,100,80,10,11,9,817,1000,160
3,1000,100,80,10,9,36,785,1000,214
1,1000,100,80,10,10,33,822,1000,318
4,1000,100,80,10,9,29,812,1000,224
2,1000,100,80,10,9,43,790,1000,292
3,1000,100,80,10,10,37,785,1000,250
5,1000,100,80,10,12,11,817,1000,169
1,1000,100,80,10,11,34,822,1000,351
4,1000,100,80,10,10,26,812,1000,253
5,1000,100,80,10,13,10,817,1000,180
3,1000,100,80,10,11,37,785,1000,287
2,1000,100,80,10,10,40,790,1000,335
1,1000,100,80,10,12,36,822,1000,385
4,1000,100,80,10,11,30,812,1000,279
5,1000,100,80,10,14,9,817,1000,190
3,1000,100,80,10,12,44,785,1000,324
2,1000,100,80,10,11,40,790,1000,375
1,1000,100,80,10,13,37,822,1000,421
5,1000,100,80,10,15,9,817,1000,199
3,1000,100,80,10,13,43,785,1000,368
4,1000,100,80,10,12,29,812,1000,309
2,1000,100,80,10,12,40,790,1000,415
3,1000,100,80,10,14,43,785,1000,411
5,1000,100,80,10,16,11,817,1000,208
2,1000,100,80,10,13,43,790,1000,455
4,1000,100,80,10,13,28,812,1000,338
5,1000,100,80,10,17,11,817,1000,219
2,1000,100,80,10,14,46,790,1000,498
3,1000,100,80,10,15,44,785,1000,454
4,1000,100,80,10,14,27,812,1000,366
1,1000,100,80,10,14,38,822,1000,458
3,1000,100,80,10,16,44,785,1000,498
5,1000,100,80,10,18,13,817,1000,230
1,1000,100,80,10,15,38,822,1000,496
2,1000,100,80,10,15,46,790,1000,544
4,1000,100,80,10,15,26,812,1000,393
3,1000,100,80,10,17,44,785,1000,542
1,1000,100,80,10,16,38,822,1000,534
5,1000,100,80,10,19,13,817,1000,243
2,1000,100,80,10,16,40,790,1000,590
4,1000,100,80,10,16,26,812,1000,419
3,1000,100,80,10,18,47,785,1000,586
2,1000,100,80,10,17,41,790,1000,630
4,1000,100,80,10,17,29,812,1000,445
1,1000,100,80,10,17,40,822,1000,572
5,1000,100,80,10,20,11,817,1000,256
3,1000,100,80,10,19,51,785,1000,633
2,1000,100,80,10,18,41,790,1000,671
4,1000,100,80,10,18,33,812,1000,474
1,1000,100,80,10,18,43,822,1000,612
5,1000,100,80,10,21,13,817,1000,267
2,1000,100,80,10,19,43,790,1000,712
4,1000,100,80,10,19,37,812,1000,507
1,1000,100,80,10,19,44,822,1000,655
3,1000,100,80,10,20,53,785,1000,684
5,1000,100,80,10,22,13,817,1000,280
2,1000,100,80,10,20,46,790,1000,755
4,1000,100,80,10,20,40,812,1000,544
3,1000,100,80,10,21,49,785,1000,737
2,1000,100,80,10,21,42,790,1000,801
1,1000,100,80,10,20,43,822,1000,699
5,1000,100,80,10,23,11,817,1000,293
4,1000,100,80,10,21,39,812,1000,584
3,1000,100,80,10,22,50,785,1000,786
2,1000,100,80,10,22,45,790,1000,843
1,1000,100,80,10,21,40,822,1000,742
5,1000,100,80,10,24,11,817,1000,304
3,1000,100,80,10,23,53,785,1000,836
4,1000,100,80,10,22,39,812,1000,623
2,1000,100,80,10,23,45,790,1000,888
