[run number],initial-people,num-infect,immune-chance,recovery-chance,[step],count turtles with [infected?],count turtles
3,100,1,90,10,0,0,100
1,100,1,90,10,0,0,100
2,100,1,90,10,0,0,100
7,100,11,90,10,0,1,100
1,100,1,90,10,1,0,100
3,100,1,90,10,1,0,100
4,100,1,90,10,0,1,100
2,100,1,90,10,1,0,100
3,100,1,90,10,2,0,100
1,100,1,90,10,2,0,100
3,100,1,90,10,3,0,100
2,100,1,90,10,2,0,100
1,100,1,90,10,3,0,100
3,100,1,90,10,4,0,100
2,100,1,90,10,3,0,100
1,100,1,90,10,4,0,100
3,100,1,90,10,5,0,100
2,100,1,90,10,4,0,100
1,100,1,90,10,5,0,100
2,100,1,90,10,5,0,100
3,100,1,90,10,6,0,100
1,100,1,90,10,6,0,100
2,100,1,90,10,6,0,100
3,100,1,90,10,7,0,100
1,100,1,90,10,7,0,100
2,100,1,90,10,7,0,100
3,100,1,90,10,8,0,100
1,100,1,90,10,8,0,100
2,100,1,90,10,8,0,100
3,100,1,90,10,9,0,100
6,100,11,90,10,0,2,100
1,100,1,90,10,9,0,100
2,100,1,90,10,9,0,100
7,100,11,90,10,1,1,100
3,100,1,90,10,10,0,100
5,100,1,90,10,0,0,100
1,100,1,90,10,10,0,100
2,100,1,90,10,10,0,100
4,100,1,90,10,1,1,100
3,100,1,90,10,11,0,100
7,100,11,90,10,2,1,100
1,100,1,90,10,11,0,100
3,100,1,90,10,12,0,100
2,100,1,90,10,11,0,100
7,100,11,90,10,3,1,100
1,100,1,90,10,12,0,100
3,100,1,90,10,13,0,100
2,100,1,90,10,12,0,100
4,100,1,90,10,2,1,100
1,100,1,90,10,13,0,100
4,100,1,90,10,3,1,100
7,100,11,90,10,4,1,100
3,100,1,90,10,14,0,100
2,100,1,90,10,13,0,100
5,100,1,90,10,1,0,100
1,100,1,90,10,14,0,100
3,100,1,90,10,15,0,100
7,100,11,90,10,5,1,100
4,100,1,90,10,4,1,100
2,100,1,90,10,14,0,100
5,100,1,90,10,2,0,100
3,100,1,90,10,16,0,100
1,100,1,90,10,15,0,100
7,100,11,90,10,6,1,100
4,100,1,90,10,5,0,100
6,100,11,90,10,1,2,100
8,100,11,90,10,0,0,100
3,100,1,90,10,17,0,100
5,100,1,90,10,3,0,100
2,100,1,90,10,15,0,100
1,100,1,90,10,16,0,100
7,100,11,90,10,7,1,100
6,100,11,90,10,2,2,100
4,100,1,90,10,6,0,100
3,100,1,90,10,18,0,100
2,100,1,90,10,16,0,100
7,100,11,90,10,8,1,100
6,100,11,90,10,3,2,100
1,100,1,90,10,17,0,100
3,100,1,90,10,19,0,100
5,100,1,90,10,4,0,100
4,100,1,90,10,7,0,100
8,100,11,90,10,1,0,100
2,100,1,90,10,17,0,100
7,100,11,90,10,9,1,100
6,100,11,90,10,4,2,100
5,100,1,90,10,5,0,100
1,100,1,90,10,18,0,100
3,100,1,90,10,20,0,100
2,100,1,90,10,18,0,100
4,100,1,90,10,8,0,100
7,100,11,90,10,10,1,100
8,100,11,90,10,2,0,100
1,100,1,90,10,19,0,100
6,100,11,90,10,5,2,100
3,100,1,90,10,21,0,100
5,100,1,90,10,6,0,100
4,100,1,90,10,9,0,100
8,100,11,90,10,3,0,100
1,100,1,90,10,20,0,100
5,100,1,90,10,7,0,100
2,100,1,90,10,19,0,100
7,100,11,90,10,11,1,100
1,100,1,90,10,21,0,100
6,100,11,90,10,6,2,100
3,100,1,90,10,22,0,100
4,100,1,90,10,10,0,100
8,100,11,90,10,4,0,100
1,100,1,90,10,22,0,100
2,100,1,90,10,20,0,100
7,100,11,90,10,12,1,100
5,100,1,90,10,8,0,100
4,100,1,90,10,11,0,100
6,100,11,90,10,7,2,100
1,100,1,90,10,23,0,100
8,100,11,90,10,5,0,100
5,100,1,90,10,9,0,100
3,100,1,90,10,23,0,100
2,100,1,90,10,21,0,100
1,100,1,90,10,24,0,100
