[run number],initial-people,num-infect,immune-chance,recovery-chance,[step],count turtles with [infected?],count turtles with [immune? = true],count turtles,sum [sicktime] of turtles
3,1000,100,50,10,0,38,504,1000,0
1,1000,100,50,10,0,45,490,1000,0
2,1000,100,50,10,0,42,510,1000,0
4,1000,100,50,10,0,38,527,1000,0
6,1000,100,50,10,0,50,492,1000,0
8,1000,100,50,10,0,44,494,1000,0
5,1000,100,50,10,0,50,507,1000,0
1,1000,100,50,10,1,58,490,1000,45
3,1000,100,50,10,1,42,504,1000,38
7,1000,100,50,10,0,50,508,1000,0
2,1000,100,50,10,1,63,510,1000,42
6,1000,100,50,10,1,75,492,1000,50
4,1000,100,50,10,1,51,527,1000,38
8,1000,100,50,10,1,58,494,1000,44
1,1000,100,50,10,2,72,490,1000,103
3,1000,100,50,10,2,58,504,1000,80
5,1000,100,50,10,1,60,507,1000,50
2,1000,100,50,10,2,69,510,1000,105
6,1000,100,50,10,2,88,492,1000,125
8,1000,100,50,10,2,69,494,1000,102
4,1000,100,50,10,2,52,527,1000,89
7,1000,100,50,10,1,53,508,1000,50
1,1000,100,50,10,3,88,490,1000,175
3,1000,100,50,10,3,79,504,1000,138
2,1000,100,50,10,3,81,510,1000,174
6,1000,100,50,10,3,106,492,1000,213
8,1000,100,50,10,3,80,494,1000,171
7,1000,100,50,10,2,71,508,1000,103
5,1000,100,50,10,2,77,507,1000,110
3,1000,100,50,10,4,101,504,1000,217
1,1000,100,50,10,4,99,490,1000,263
4,1000,100,50,10,3,57,527,1000,141
2,1000,100,50,10,4,96,510,1000,255
6,1000,100,50,10,4,128,492,1000,319
8,1000,100,50,10,4,99,494,1000,251
5,1000,100,50,10,3,91,507,1000,187
1,1000,100,50,10,5,119,490,1000,362
7,1000,100,50,10,3,84,508,1000,174
2,1000,100,50,10,5,119,510,1000,351
3,1000,100,50,10,5,128,504,1000,318
6,1000,100,50,10,5,154,492,1000,447
8,1000,100,50,10,5,130,494,1000,350
1,1000,100,50,10,6,137,490,1000,481
4,1000,100,50,10,4,65,527,1000,198
2,1000,100,50,10,6,148,510,1000,470
3,1000,100,50,10,6,143,504,1000,446
8,1000,100,50,10,6,154,494,1000,480
5,1000,100,50,10,4,110,507,1000,278
6,1000,100,50,10,6,184,492,1000,601
7,1000,100,50,10,4,101,508,1000,258
1,1000,100,50,10,7,173,490,1000,618
8,1000,100,50,10,7,178,494,1000,634
3,1000,100,50,10,7,165,504,1000,589
6,1000,100,50,10,7,204,492,1000,785
4,1000,100,50,10,5,73,527,1000,263
7,1000,100,50,10,5,120,508,1000,359
8,1000,100,50,10,8,187,494,1000,812
2,1000,100,50,10,7,164,510,1000,618
1,1000,100,50,10,8,196,490,1000,791
8,1000,100,50,10,9,206,494,1000,999
5,1000,100,50,10,5,130,507,1000,388
3,1000,100,50,10,8,184,504,1000,754
8,1000,100,50,10,10,230,494,1000,1205
1,1000,100,50,10,9,217,490,1000,987
7,1000,100,50,10,6,139,508,1000,479
2,1000,100,50,10,8,183,510,1000,782
4,1000,100,50,10,6,91,527,1000,336
6,1000,100,50,10,8,227,492,1000,989
2,1000,100,50,10,9,206,510,1000,965
3,1000,100,50,10,9,209,504,1000,938
6,1000,100,50,10,9,248,492,1000,1216
7,1000,100,50,10,7,162,508,1000,618
1,1000,100,50,10,10,231,490,1000,1204
5,1000,100,50,10,6,155,507,1000,518
8,1000,100,50,10,11,241,494,1000,1435
2,1000,100,50,10,10,222,510,1000,1171
1,1000,100,50,10,11,259,490,1000,1435
3,1000,100,50,10,10,227,504,1000,1147
4,1000,100,50,10,7,101,527,1000,427
8,1000,100,50,10,12,251,494,1000,1676
1,1000,100,50,10,12,278,490,1000,1694
7,1000,100,50,10,8,184,508,1000,780
8,1000,100,50,10,13,261,494,1000,1927
4,1000,100,50,10,8,123,527,1000,528
5,1000,100,50,10,7,174,507,1000,673
6,1000,100,50,10,10,268,492,1000,1464
2,1000,100,50,10,11,251,510,1000,1393
