[run number],initial-people,num-infect,immune-chance,recovery-chance,[step],count turtles with [infected?],count turtles,sum [sicktime] of turtles
4,1000,100,80,10,0,22,1000,0
7,1000,100,80,10,0,15,1000,0
2,1000,100,80,10,0,14,1000,0
5,1000,100,80,10,0,17,1000,0
3,1000,100,80,10,0,12,1000,0
4,1000,100,80,10,1,22,1000,22
1,1000,100,80,10,0,21,1000,0
4,1000,100,80,10,2,27,1000,44
2,1000,100,80,10,1,15,1000,14
7,1000,100,80,10,1,11,1000,15
3,1000,100,80,10,1,13,1000,12
8,1000,100,80,10,0,22,1000,0
4,1000,100,80,10,3,31,1000,71
1,1000,100,80,10,1,21,1000,21
2,1000,100,80,10,2,15,1000,29
5,1000,100,80,10,1,20,1000,17
7,1000,100,80,10,2,12,1000,26
6,1000,100,80,10,0,18,1000,0
4,1000,100,80,10,4,27,1000,102
3,1000,100,80,10,2,11,1000,25
5,1000,100,80,10,2,20,1000,37
4,1000,100,80,10,5,30,1000,129
1,1000,100,80,10,2,24,1000,42
2,1000,100,80,10,3,14,1000,44
7,1000,100,80,10,3,11,1000,38
8,1000,100,80,10,1,22,1000,22
2,1000,100,80,10,4,15,1000,58
1,1000,100,80,10,3,21,1000,66
7,1000,100,80,10,4,13,1000,49
4,1000,100,80,10,6,37,1000,159
3,1000,100,80,10,3,14,1000,36
5,1000,100,80,10,3,23,1000,57
6,1000,100,80,10,1,20,1000,18
2,1000,100,80,10,5,16,1000,73
8,1000,100,80,10,2,23,1000,44
4,1000,100,80,10,7,43,1000,196
3,1000,100,80,10,4,16,1000,50
5,1000,100,80,10,4,25,1000,80
3,1000,100,80,10,5,17,1000,66
2,1000,100,80,10,6,17,1000,89
3,1000,100,80,10,6,18,1000,83
1,1000,100,80,10,4,21,1000,87
6,1000,100,80,10,2,22,1000,38
7,1000,100,80,10,5,13,1000,62
8,1000,100,80,10,3,23,1000,67
4,1000,100,80,10,8,42,1000,239
1,1000,100,80,10,5,21,1000,108
2,1000,100,80,10,7,15,1000,106
3,1000,100,80,10,7,18,1000,101
6,1000,100,80,10,3,25,1000,60
4,1000,100,80,10,9,48,1000,281
3,1000,100,80,10,8,22,1000,119
6,1000,100,80,10,4,27,1000,85
2,1000,100,80,10,8,17,1000,121
5,1000,100,80,10,5,26,1000,105
7,1000,100,80,10,6,13,1000,75
8,1000,100,80,10,4,24,1000,90
1,1000,100,80,10,6,24,1000,129
3,1000,100,80,10,9,22,1000,141
6,1000,100,80,10,5,30,1000,112
4,1000,100,80,10,10,55,1000,329
3,1000,100,80,10,10,24,1000,163
5,1000,100,80,10,6,25,1000,131
2,1000,100,80,10,9,21,1000,138
8,1000,100,80,10,5,25,1000,114
7,1000,100,80,10,7,13,1000,88
1,1000,100,80,10,7,28,1000,153
3,1000,100,80,10,11,24,1000,187
6,1000,100,80,10,6,33,1000,142
4,1000,100,80,10,11,57,1000,384
3,1000,100,80,10,12,22,1000,211
6,1000,100,80,10,7,37,1000,175
8,1000,100,80,10,6,27,1000,139
5,1000,100,80,10,7,25,1000,156
7,1000,100,80,10,8,14,1000,101
3,1000,100,80,10,13,19,1000,233
8,1000,100,80,10,7,26,1000,166
1,1000,100,80,10,8,28,1000,181
5,1000,100,80,10,8,26,1000,181
6,1000,100,80,10,8,37,1000,212
3,1000,100,80,10,14,22,1000,252
7,1000,100,80,10,9,14,1000,115
4,1000,100,80,10,12,61,1000,441
1,1000,100,80,10,9,31,1000,209
5,1000,100,80,10,9,22,1000,207
6,1000,100,80,10,9,40,1000,249
8,1000,100,80,10,8,26,1000,192
3,1000,100,80,10,15,25,1000,274
6,1000,100,80,10,10,39,1000,289
4,1000,100,80,10,13,61,1000,502
8,1000,100,80,10,9,30,1000,218
7,1000,100,80,10,10,17,1000,129
