[run number],initial-people,num-infect,immune-chance,recovery-chance,[step],count turtles with [infected?],count turtles with [immune? = true],count turtles,sum [sicktime] of turtles
3,1000,100,50,10,0,52,491,1000,0
7,1000,100,50,10,0,44,481,1000,0
6,1000,100,50,10,0,48,502,1000,0
1,1000,100,50,10,0,53,516,1000,0
4,1000,100,50,10,0,43,514,1000,0
5,1000,100,50,10,0,51,507,1000,0
2,1000,100,50,10,0,55,488,1000,0
8,1000,100,50,10,0,43,513,1000,0
7,1000,100,50,10,1,57,481,1000,44
6,1000,100,50,10,1,61,502,1000,48
2,1000,100,50,10,1,65,488,1000,55
5,1000,100,50,10,1,75,507,1000,51
1,1000,100,50,10,1,65,516,1000,53
4,1000,100,50,10,1,58,514,1000,43
8,1000,100,50,10,1,55,513,1000,43
7,1000,100,50,10,2,81,481,1000,101
1,1000,100,50,10,2,88,516,1000,118
3,1000,100,50,10,1,78,491,1000,52
5,1000,100,50,10,2,99,507,1000,126
6,1000,100,50,10,2,68,502,1000,109
4,1000,100,50,10,2,74,514,1000,101
8,1000,100,50,10,2,66,513,1000,98
1,1000,100,50,10,3,102,516,1000,206
5,1000,100,50,10,3,114,507,1000,225
7,1000,100,50,10,3,94,481,1000,182
8,1000,100,50,10,3,86,513,1000,164
2,1000,100,50,10,2,90,488,1000,120
1,1000,100,50,10,4,115,516,1000,308
5,1000,100,50,10,4,138,507,1000,339
3,1000,100,50,10,2,90,491,1000,130
7,1000,100,50,10,4,111,481,1000,276
4,1000,100,50,10,3,96,514,1000,175
8,1000,100,50,10,4,103,513,1000,250
6,1000,100,50,10,3,83,502,1000,177
1,1000,100,50,10,5,125,516,1000,423
5,1000,100,50,10,5,155,507,1000,477
7,1000,100,50,10,5,136,481,1000,387
3,1000,100,50,10,3,110,491,1000,220
2,1000,100,50,10,3,104,488,1000,210
5,1000,100,50,10,6,173,507,1000,632
7,1000,100,50,10,6,164,481,1000,523
6,1000,100,50,10,4,100,502,1000,260
1,1000,100,50,10,6,138,516,1000,548
7,1000,100,50,10,7,179,481,1000,687
5,1000,100,50,10,7,192,507,1000,805
1,1000,100,50,10,7,163,516,1000,686
4,1000,100,50,10,4,105,514,1000,271
7,1000,100,50,10,8,194,481,1000,866
5,1000,100,50,10,8,224,507,1000,997
3,1000,100,50,10,4,135,491,1000,330
1,1000,100,50,10,8,188,516,1000,849
2,1000,100,50,10,4,123,488,1000,314
4,1000,100,50,10,5,118,514,1000,376
7,1000,100,50,10,9,209,481,1000,1060
5,1000,100,50,10,9,241,507,1000,1221
5,1000,100,50,10,10,265,507,1000,1462
7,1000,100,50,10,10,232,481,1000,1269
1,1000,100,50,10,9,215,516,1000,1037
6,1000,100,50,10,5,133,502,1000,360
5,1000,100,50,10,11,275,507,1000,1727
3,1000,100,50,10,5,162,491,1000,465
2,1000,100,50,10,5,145,488,1000,437
7,1000,100,50,10,11,266,481,1000,1501
1,1000,100,50,10,10,228,516,1000,1252
4,1000,100,50,10,6,138,514,1000,494
7,1000,100,50,10,12,283,481,1000,1767
5,1000,100,50,10,12,300,507,1000,2002
3,1000,100,50,10,6,195,491,1000,627
6,1000,100,50,10,6,160,502,1000,493
8,1000,100,50,10,5,122,513,1000,353
7,1000,100,50,10,13,308,481,1000,2050
5,1000,100,50,10,13,314,507,1000,2302
4,1000,100,50,10,7,165,514,1000,632
1,1000,100,50,10,11,248,516,1000,1480
7,1000,100,50,10,14,332,481,1000,2358
4,1000,100,50,10,8,184,514,1000,797
2,1000,100,50,10,6,165,488,1000,582
1,1000,100,50,10,12,264,516,1000,1728
5,1000,100,50,10,14,327,507,1000,2616
8,1000,100,50,10,6,143,513,1000,475
7,1000,100,50,10,15,352,481,1000,2690
1,1000,100,50,10,13,263,516,1000,1992
7,1000,100,50,10,16,350,481,1000,3042
3,1000,100,50,10,7,222,491,1000,822
6,1000,100,50,10,7,180,502,1000,653
2,1000,100,50,10,7,192,488,1000,747
5,1000,100,50,10,15,346,507,1000,2943
