"BehaviorSpace results (NetLogo 6.0.4)"
"epidemic.nlogo"
"scenario 1"
"04/22/2019 11:20:28:822 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","initial-people","num-infect","immune-chance","recovery-chance","[step]","count turtles with [infected?]","count turtles with [immune? = true]","count turtles","sum [sicktime] of turtles"
"5","1000","100","50","10","0","48","481","1000","0"
"6","1000","100","50","10","0","50","491","1000","0"
"4","1000","100","50","10","0","57","456","1000","0"
"8","1000","100","50","10","0","45","478","1000","0"
"2","1000","100","50","10","0","50","509","1000","0"
"7","1000","100","50","10","0","47","514","1000","0"
"3","1000","100","50","10","0","47","489","1000","0"
"1","1000","100","50","10","0","50","483","1000","0"
"5","1000","100","50","10","1","67","481","1000","48"
"4","1000","100","50","10","1","75","456","1000","57"
"6","1000","100","50","10","1","70","491","1000","50"
"1","1000","100","50","10","1","72","483","1000","50"
"7","1000","100","50","10","1","61","514","1000","47"
"3","1000","100","50","10","1","60","489","1000","47"
"2","1000","100","50","10","1","68","509","1000","50"
"6","1000","100","50","10","2","85","491","1000","120"
"4","1000","100","50","10","2","97","456","1000","132"
"8","1000","100","50","10","1","61","478","1000","45"
"5","1000","100","50","10","2","82","481","1000","115"
"1","1000","100","50","10","2","81","483","1000","122"
"6","1000","100","50","10","3","109","491","1000","205"
"5","1000","100","50","10","3","108","481","1000","197"
"3","1000","100","50","10","2","80","489","1000","107"
"7","1000","100","50","10","2","80","514","1000","108"
"2","1000","100","50","10","2","79","509","1000","118"
"4","1000","100","50","10","3","115","456","1000","229"
"8","1000","100","50","10","2","74","478","1000","106"
"6","1000","100","50","10","4","130","491","1000","314"
"4","1000","100","50","10","4","142","456","1000","344"
"7","1000","100","50","10","3","97","514","1000","188"
"6","1000","100","50","10","5","155","491","1000","444"
"8","1000","100","50","10","3","96","478","1000","180"
"5","1000","100","50","10","4","119","481","1000","305"
"2","1000","100","50","10","3","96","509","1000","197"
"3","1000","100","50","10","3","95","489","1000","187"
"4","1000","100","50","10","5","173","456","1000","486"
"1","1000","100","50","10","3","101","483","1000","203"
"6","1000","100","50","10","6","181","491","1000","599"
"7","1000","100","50","10","4","116","514","1000","285"
"4","1000","100","50","10","6","192","456","1000","659"
"3","1000","100","50","10","4","113","489","1000","282"
"2","1000","100","50","10","4","111","509","1000","293"
"6","1000","100","50","10","7","199","491","1000","780"
"1","1000","100","50","10","4","117","483","1000","304"
"8","1000","100","50","10","4","115","478","1000","276"
"5","1000","100","50","10","5","137","481","1000","424"
"4","1000","100","50","10","7","217","456","1000","851"
"7","1000","100","50","10","5","125","514","1000","401"
"3","1000","100","50","10","5","136","489","1000","395"
"6","1000","100","50","10","8","223","491","1000","979"
"2","1000","100","50","10","5","138","509","1000","404"
"1","1000","100","50","10","5","135","483","1000","421"
"4","1000","100","50","10","8","244","456","1000","1068"
"8","1000","100","50","10","5","127","478","1000","391"
"6","1000","100","50","10","9","251","491","1000","1202"
"5","1000","100","50","10","6","170","481","1000","561"
"3","1000","100","50","10","6","154","489","1000","531"
"2","1000","100","50","10","6","158","509","1000","542"
"7","1000","100","50","10","6","163","514","1000","526"
"4","1000","100","50","10","9","263","456","1000","1312"
"1","1000","100","50","10","6","157","483","1000","556"
"6","1000","100","50","10","10","264","491","1000","1453"
"4","1000","100","50","10","10","284","456","1000","1575"
"3","1000","100","50","10","7","170","489","1000","685"
"2","1000","100","50","10","7","175","509","1000","700"
"8","1000","100","50","10","6","150","478","1000","518"
"1","1000","100","50","10","7","179","483","1000","713"
"6","1000","100","50","10","11","289","491","1000","1717"
"7","1000","100","50","10","7","186","514","1000","689"
"3","1000","100","50","10","8","196","489","1000","855"
"6","1000","100","50","10","12","308","491","1000","2006"
"5","1000","100","50","10","7","193","481","1000","731"
"2","1000","100","50","10","8","192","509","1000","875"
"7","1000","100","50","10","8","202","514","1000","875"
"1","1000","100","50","10","8","197","483","1000","892"
"8","1000","100","50","10","7","189","478","1000","668"
"3","1000","100","50","10","9","227","489","1000","1051"
"2","1000","100","50","10","9","204","509","1000","1067"
"1","1000","100","50","10","9","223","483","1000","1089"
"5","1000","100","50","10","8","222","481","1000","924"
"7","1000","100","50","10","9","207","514","1000","1077"
"2","1000","100","50","10","10","222","509","1000","1271"
"3","1000","100","50","10","10","239","489","1000","1278"
"8","1000","100","50","10","8","206","478","1000","857"
"1","1000","100","50","10","10","240","483","1000","1312"
"7","1000","100","50","10","10","239","514","1000","1284"
"3","1000","100","50","10","11","267","489","1000","1517"
"2","1000","100","50","10","11","222","509","1000","1493"
"5","1000","100","50","10","9","249","481","1000","1146"
"1","1000","100","50","10","11","255","483","1000","1552"
"8","1000","100","50","10","9","237","478","1000","1063"
"3","1000","100","50","10","12","293","489","1000","1784"
"7","1000","100","50","10","11","251","514","1000","1523"
"2","1000","100","50","10","12","244","509","1000","1715"
"1","1000","100","50","10","12","275","483","1000","1807"
"8","1000","100","50","10","10","261","478","1000","1300"
"5","1000","100","50","10","10","273","481","1000","1395"
"3","1000","100","50","10","13","313","489","1000","2077"
"2","1000","100","50","10","13","256","509","1000","1959"
"8","1000","100","50","10","11","287","478","1000","1561"
"3","1000","100","50","10","14","328","489","1000","2390"
"1","1000","100","50","10","13","295","483","1000","2082"
"2","1000","100","50","10","14","270","509","1000","2215"
"8","1000","100","50","10","12","294","478","1000","1848"
"1","1000","100","50","10","14","323","483","1000","2377"
"2","1000","100","50","10","15","292","509","1000","2485"
"4","1000","100","50","10","11","304","456","1000","1859"
"6","1000","100","50","10","13","331","491","1000","2314"
"8","1000","100","50","10","13","321","478","1000","2142"
"1","1000","100","50","10","15","331","483","1000","2700"
"4","1000","100","50","10","12","325","456","1000","2163"
"8","1000","100","50","10","14","329","478","1000","2463"
"7","1000","100","50","10","12","268","514","1000","1774"
"1","1000","100","50","10","16","352","483","1000","3031"
"4","1000","100","50","10","13","342","456","1000","2488"
"7","1000","100","50","10","13","271","514","1000","2042"
"6","1000","100","50","10","14","339","491","1000","2645"
"1","1000","100","50","10","17","362","483","1000","3383"
"4","1000","100","50","10","14","362","456","1000","2830"
"7","1000","100","50","10","14","281","514","1000","2313"
"6","1000","100","50","10","15","353","491","1000","2984"
"1","1000","100","50","10","18","363","483","1000","3745"
"4","1000","100","50","10","15","371","456","1000","3192"
"8","1000","100","50","10","15","333","478","1000","2792"
"3","1000","100","50","10","15","339","489","1000","2718"
"2","1000","100","50","10","16","305","509","1000","2777"
"5","1000","100","50","10","11","295","481","1000","1668"
"7","1000","100","50","10","15","296","514","1000","2594"
"4","1000","100","50","10","16","381","456","1000","3563"
"6","1000","100","50","10","16","359","491","1000","3337"
"6","1000","100","50","10","17","368","491","1000","3696"
"8","1000","100","50","10","16","348","478","1000","3125"
"4","1000","100","50","10","17","383","456","1000","3944"
"5","1000","100","50","10","12","306","481","1000","1963"
"6","1000","100","50","10","18","372","491","1000","4064"
"3","1000","100","50","10","16","347","489","1000","3057"
"7","1000","100","50","10","16","313","514","1000","2890"
"2","1000","100","50","10","17","319","509","1000","3082"
"8","1000","100","50","10","17","361","478","1000","3473"
"5","1000","100","50","10","13","335","481","1000","2269"
"6","1000","100","50","10","19","382","491","1000","4436"
